Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-01-13,Cats,2019,https://boxd.it/WuS5V,2,Yes,,2020-01-02
2020-01-13,Bad Times at the El Royale,2018,https://boxd.it/WuSv5,3,,,2020-01-03
2020-01-13,Billionaire Boys Club,2018,https://boxd.it/WuSfV,1.5,Yes,,2020-01-11
2020-01-13,Daniel Sloss: X,2019,https://boxd.it/WuSph,4,,,2020-01-11
2020-01-15,Ferris Bueller's Day Off,1986,https://boxd.it/WH5Ar,4,,,2020-01-14
2020-01-16,The Texas Chain Saw Massacre,1974,https://boxd.it/WLczD,3,,,2020-01-15
2020-01-16,Grease,1978,https://boxd.it/WMiGH,3,Yes,,2020-01-15
2020-01-17,American Beauty,1999,https://boxd.it/WP2a7,3,,,2020-01-16
2020-01-17,American Psycho,2000,https://boxd.it/WQpph,5,Yes,,2020-01-16
2020-01-18,The Irishman,2019,https://boxd.it/WWGyd,3,,,2020-01-17
2020-02-02,Labyrinth,1986,https://boxd.it/Yi1xL,3.5,Yes,,2020-01-28
2020-02-05,The Mule,2018,https://boxd.it/YxB4l,3,,,2020-02-04
2020-02-08,Spider-Man: Homecoming,2017,https://boxd.it/YNCKp,2.5,Yes,,2020-02-07
2020-02-15,Pineapple Express,2008,https://boxd.it/ZpDUB,3.5,,,2020-02-14
2020-02-21,Good Time,2017,https://boxd.it/ZZohV,5,,,2020-02-20
2020-03-23,Pet Sematary,2019,https://boxd.it/12xDvf,2,,,2020-03-22
2020-03-23,Once Upon a Time... in Hollywood,2019,https://boxd.it/12xDzh,3,Yes,,2020-03-22
2020-03-23,Inglourious Basterds,2009,https://boxd.it/12xDDj,4,,,2020-03-22
2020-03-23,Sorry to Bother You,2018,https://boxd.it/12xDIj,5,,,2020-03-22
2020-03-28,The Wicker Man,1973,https://boxd.it/135xjZ,2,,,2020-03-27
2020-04-08,The Perks of Being a Wallflower,2012,https://boxd.it/14uS3H,2,,,2020-04-07
2020-04-08,Tiger King,2020,https://boxd.it/14uSbV,2.5,,,2020-04-07
2020-04-12,The Many Adventures of Winnie the Pooh,1977,https://boxd.it/14ZvA1,4,,,2020-04-08
2020-04-12,Hot Rod,2007,https://boxd.it/14Zo0l,4,Yes,,2020-04-11
2020-04-12,Rosemary's Baby,1968,https://boxd.it/14Zojd,4,,,2020-04-11
2020-04-22,Uncut Gems,2019,https://boxd.it/16jbar,4,,,2020-04-21
2020-04-27,Jojo Rabbit,2019,https://boxd.it/16V1Vj,4.5,,,2020-04-26
2020-05-05,Kill Bill: Vol. 1,2003,https://boxd.it/17Vg5B,4,,,2020-05-04
2020-05-15,The Florida Project,2017,https://boxd.it/194oHl,4.5,,,2020-05-14
2020-06-16,The King of Staten Island,2020,https://boxd.it/1cC2Yp,3,,,2020-06-15
2020-07-05,Clueless,1995,https://boxd.it/1er29d,3,Yes,,2020-07-04
2020-07-05,Spirited Away,2001,https://boxd.it/1er2gN,4,,,2020-07-04
2020-07-17,Scott Pilgrim vs. the World,2010,https://boxd.it/1fK4AH,4,Yes,,2020-07-05
2020-07-08,Hamilton,2020,https://boxd.it/1ePNRT,4,,,2020-07-07
2020-07-17,Kingsman: The Secret Service,2014,https://boxd.it/1fK4Op,3.5,Yes,,2020-07-15
2020-07-22,mid90s,2018,https://boxd.it/1ghE4N,4,,,2020-07-21
2020-07-25,Hereditary,2018,https://boxd.it/1gBoSd,3,,,2020-07-24
2020-09-16,Dirty Dancing,1987,https://boxd.it/1m79dN,3.5,,,2020-08-23
2020-09-16,Twilight,2008,https://boxd.it/1m7al9,3.5,Yes,,2020-09-06
2020-09-16,The Twilight Saga: New Moon,2009,https://boxd.it/1m7aqN,3,Yes,,2020-09-12
2020-09-16,The Twilight Saga: Eclipse,2010,https://boxd.it/1m7avj,3,,,2020-09-13
2020-09-15,Tenet,2020,https://boxd.it/1m4VuL,4.5,,,2020-09-14
2020-09-17,The Twilight Saga: Breaking Dawn – Part 1,2011,https://boxd.it/1mhrgZ,2.5,,,2020-09-16
2020-10-23,A Haunted House,2013,https://boxd.it/1pYo95,0.5,,,2020-10-10
2020-10-23,Big Time Adolescence,2019,https://boxd.it/1pYnOr,3.5,,,2020-10-14
2020-10-23,Elvira: Mistress of the Dark,1988,https://boxd.it/1q2wF7,3.5,,,2020-10-22
2020-10-24,Borat Subsequent Moviefilm,2020,https://boxd.it/1qajGx,2,,,2020-10-24
2020-10-26,Scary Movie 5,2013,https://boxd.it/1qr7EX,1.5,,,2020-10-25
2020-10-27,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/1qwMJT,3.5,,,2020-10-26
2020-10-27,Isle of Dogs,2018,https://boxd.it/1qwMRj,4.5,,,2020-10-26
2020-11-02,Beetlejuice,1988,https://boxd.it/1rbwEv,4,Yes,,2020-10-31
2020-11-16,Big Time Adolescence,2019,https://boxd.it/1sDbhb,3.5,Yes,,2020-11-15
2020-11-30,Being Charlie,2015,https://boxd.it/1uczuR,4,,,2020-11-30
2020-12-17,Superbad,2007,https://boxd.it/1vZuiN,4,Yes,,2020-12-16
2020-12-25,Ponyo,2008,https://boxd.it/1x3k8v,4,,,2020-12-24
2021-01-02,The Dark Knight Rises,2012,https://boxd.it/1yu5Lv,3,,,2021-01-01
2021-01-04,Batman Begins,2005,https://boxd.it/1yY9TN,3.5,,,2021-01-03
2021-04-28,The Dark Knight,2008,https://boxd.it/1PhnOJ,4.5,,,2021-01-05
2021-01-10,Spree,2020,https://boxd.it/1zRzwv,2,,,2021-01-10
2021-01-16,Leaving Neverland,2019,https://boxd.it/1ANieP,3.5,,,2021-01-15
2021-01-16,Night Stalker: The Hunt for a Serial Killer,2021,https://boxd.it/1ANiZV,4,,,2021-01-15
2021-01-23,The Muppets,2011,https://boxd.it/1BNpYT,4,,,2021-01-21
2021-01-31,Twilight,2008,https://boxd.it/1CS9FP,3.5,Yes,,2021-01-28
2021-03-18,WandaVision,2021,https://boxd.it/1JjRpp,3,,,2021-03-09
2021-04-02,Bad Trip,2021,https://boxd.it/1LoNbV,3,,,2021-04-01
2021-04-02,The Devil All the Time,2020,https://boxd.it/1LqLnf,4.5,,,2021-04-01
2021-04-15,Killer Inside: The Mind of Aaron Hernandez,2020,https://boxd.it/1NiI6x,3,,,2021-04-14
2021-04-28,The Falcon and the Winter Soldier,2021,https://boxd.it/1Phnvd,3,,,2021-04-28
2021-05-19,Captain America: The Winter Soldier,2014,https://boxd.it/1S6TqJ,3,,,2021-05-18
2021-05-24,My Neighbor Totoro,1988,https://boxd.it/1SHhvF,4,,,2021-05-22
2021-05-24,Soul,2020,https://boxd.it/1SHgJB,4,,,2021-05-23
2021-05-29,Dirty Dancing,1987,https://boxd.it/1Tlb23,3.5,Yes,,2021-05-28
