Date,Name,Year,Letterboxd URI
2020-01-16,Grease,1978,https://boxd.it/29YW
2020-01-17,American Psycho,2000,https://boxd.it/28Vs
2020-02-21,Good Time,2017,https://boxd.it/fcFu
2020-03-23,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O
2020-03-23,Sorry to Bother You,2018,https://boxd.it/f21E
2020-04-12,Hot Rod,2007,https://boxd.it/1X9C
2020-04-12,Inglourious Basterds,2009,https://boxd.it/1JzG
2020-04-12,The Many Adventures of Winnie the Pooh,1977,https://boxd.it/7l0Y
2020-05-15,The Florida Project,2017,https://boxd.it/dMG0
2020-07-05,Clueless,1995,https://boxd.it/1Ygk
2020-07-05,Spirited Away,2001,https://boxd.it/2b4m
2020-09-15,Tenet,2020,https://boxd.it/leq4
2020-09-16,Dirty Dancing,1987,https://boxd.it/2baY
2020-09-16,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2020-09-16,The Silence of the Lambs,1991,https://boxd.it/2aHW
2020-09-16,Donnie Darko,2001,https://boxd.it/2b2A
2020-09-16,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2020-09-16,Edward Scissorhands,1990,https://boxd.it/2aZc
2020-12-25,Ponyo,2008,https://boxd.it/1S0A
2022-03-07,The Batman,2022,https://boxd.it/eDGs
2022-10-05,Pearl,2022,https://boxd.it/zPbe
2022-10-05,X,2022,https://boxd.it/sxVa
2023-08-14,"Dude, Where's My Car?",2000,https://boxd.it/1ZJi
