Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-11-20,Comfort Films,,https://boxd.it/a6fe6,

Position,Name,Year,URL,Description
1,Big Time Adolescence,2019,https://boxd.it/jFke,
2,American Psycho,2000,https://boxd.it/28Vs,
3,Hot Rod,2007,https://boxd.it/1X9C,
4,The Many Adventures of Winnie the Pooh,1977,https://boxd.it/7l0Y,
5,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,
6,The Shining,1980,https://boxd.it/29Nu,
7,It,2017,https://boxd.it/bC8e,
8,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
9,Diary of a Wimpy Kid: Rodrick Rules,2011,https://boxd.it/gm2,
10,Pearl,2022,https://boxd.it/zPbe,
11,The Dark Knight,2008,https://boxd.it/2b0k,
