Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-07-24,movies i cried watching lol,,https://boxd.it/cPb4E,

Position,Name,Year,URL,Description
1,"Yes, God, Yes",2019,https://boxd.it/jaGS,
2,Lady Bird,2017,https://boxd.it/dGNE,
3,The Outsiders,1983,https://boxd.it/2aPw,
4,Call Me by Your Name,2017,https://boxd.it/dYmm,
5,Christopher Robin,2018,https://boxd.it/eSj4,
6,A Quiet Place,2018,https://boxd.it/fVJQ,
7,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
8,Ghost,1990,https://boxd.it/2aLE,
9,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,
10,I'll Be Gone in the Dark,2020,https://boxd.it/qX9s,
