Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-02-02,Labyrinth,1986,https://boxd.it/Yi1xL,3.5,Yes,bulge.,,2020-01-28
2020-02-05,The Mule,2018,https://boxd.it/YxB4l,3,,mans has 2 threesomes wtf,,2020-02-04
2020-06-16,The King of Staten Island,2020,https://boxd.it/1cC2Yp,3,,there are so many things i would let mr pete davidson do to me,,2020-06-15
2021-01-10,Spree,2020,https://boxd.it/1zRzwv,2,,i usually like movies where you watch the main character slowly become crazy but .... this was not it also frankie grande is in this,,2021-01-10
2021-01-16,Night Stalker: The Hunt for a Serial Killer,2021,https://boxd.it/1ANiZV,4,,the LAPD sucks,,2021-01-15
2021-07-23,Space Jam: A New Legacy,2021,https://boxd.it/20WNGd,2,,jesus,,2021-07-22
2021-07-31,Black Widow,2021,https://boxd.it/225nnr,3,,i took 2 naps but the parts i saw were good,,2021-07-30
2021-08-07,The Suicide Squad,2021,https://boxd.it/234rXb,3,,pete davidson sexy... but also wtf happens,,2021-08-06
2021-08-15,Free Guy,2021,https://boxd.it/24jxe1,2,,cum sock,,2021-08-14
2021-12-27,Spider-Man: No Way Home,2021,https://boxd.it/2oIOWz,3.5,,How willem dafoe villain if he so sexy,,2021-12-26
2022-03-08,Fresh,2022,https://boxd.it/2DTVYp,3.5,Yes,takes ass eating to a new level,,2022-03-07
2022-06-24,Muppets Haunted Mansion,2021,https://boxd.it/2XqFPt,3.5,,ghost kermit!!!!!!,,2022-06-23
2022-09-20,Elvis,2022,https://boxd.it/3f7mEP,3,,way too fucking long fr,,2022-09-19
2022-09-25,Don't Worry Darling,2022,https://boxd.it/3g2B2l,3,,"i would give all my money, double my student loans, and drop out of school to be with this man i swear

also chris pine saying good girl.",,2022-09-24
2022-09-26,Pearl,2022,https://boxd.it/3gi4f9,4.5,,she just like me fr,,2022-09-25
2022-10-05,X,2022,https://boxd.it/3i8cbH,4,,mia goth.,,2022-10-04
2022-11-27,Weird: The Al Yankovic Story,2022,https://boxd.it/3tlbx3,3.5,,why they have to put lin manuel miranda in this,,2022-11-26
2022-11-30,My Policeman,2022,https://boxd.it/3u3q4j,3.5,,he so sexy,,2022-11-29
2023-01-03,Amsterdam,2022,https://boxd.it/3Dk9hv,3,,started off pretty good but gradually got worse,,2023-01-02
2023-01-27,Skinamarink,2022,https://boxd.it/3LMgQZ,2.5,,was p good but made my head hurt so bad,,2023-01-27
2023-01-28,The Lobster,2015,https://boxd.it/3M4OPR,4,,no lobster.,,2023-01-27
2023-02-04,Puss in Boots: The Last Wish,2022,https://boxd.it/3O7rmr,3.5,,the scariest movie i have seen in years,,2023-02-03
2023-02-11,Infinity Pool,2023,https://boxd.it/3QesDP,5,,mia goth. cock. CUM. ass. pussy. this movie did things to me that i cannot explain,,2023-02-10
2023-04-15,Renfield,2023,https://boxd.it/47CoNH,3.5,,he is so babygirl,,2023-04-14
2023-05-01,Beau Is Afraid,2023,https://boxd.it/4bTIvD,3,,way too long,,2023-04-30
2023-06-15,Thought Crimes,2015,https://boxd.it/4ntl4v,3,,"hate how they're really pushing the innocent narrative and not listening to the women he's hurt. he also admitted to a crime and they dropped the charge and the ppl in documentary are trying to say what he did was ok bc he ""had the hots for the girl""",,2023-06-14
2023-06-16,The Curious Case of Natalia Grace,2023,https://boxd.it/4nJaSL,3,,very confusing i really left this knowing nothing,,2023-06-15
2023-06-19,Black Mirror: Joan Is Awful,2023,https://boxd.it/4oHE5f,3,,good for her,,2023-06-17
