Date,Name,Year,Letterboxd URI
2020-01-13,Billionaire Boys Club,2018,https://boxd.it/dqUY
2020-01-13,Cats,2019,https://boxd.it/jydK
2020-01-13,Daniel Sloss: X,2019,https://boxd.it/nEGQ
2020-01-13,Bad Times at the El Royale,2018,https://boxd.it/fSA2
2020-01-13,Nightcrawler,2014,https://boxd.it/780m
2020-01-13,Knives Out,2019,https://boxd.it/jWEA
2020-01-13,Joker,2019,https://boxd.it/h4cS
2020-01-13,Booksmart,2019,https://boxd.it/igNS
2020-01-15,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY
2020-01-16,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS
2020-01-16,Grease,1978,https://boxd.it/29YW
2020-01-17,American Beauty,1999,https://boxd.it/71Y
2020-01-17,American Psycho,2000,https://boxd.it/28Vs
2020-01-18,The Irishman,2019,https://boxd.it/dYOq
2020-02-02,Labyrinth,1986,https://boxd.it/1POC
2020-02-05,The Mule,2018,https://boxd.it/idcY
2020-02-08,Spider-Man: Homecoming,2017,https://boxd.it/aboM
2020-02-15,Pineapple Express,2008,https://boxd.it/1WRS
2020-02-21,Good Time,2017,https://boxd.it/fcFu
2020-03-23,Pet Sematary,2019,https://boxd.it/4W0q
2020-03-23,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O
2020-03-23,Inglourious Basterds,2009,https://boxd.it/1JzG
2020-03-23,Sorry to Bother You,2018,https://boxd.it/f21E
2020-03-28,The Wicker Man,1973,https://boxd.it/1KnG
2020-04-08,"Tiger King: Murder, Mayhem and Madness",2020,https://boxd.it/pzj2
2020-04-08,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
2020-04-08,Don't F**k with Cats: Hunting an Internet Killer,2019,https://boxd.it/oqjq
2020-04-12,Hot Rod,2007,https://boxd.it/1X9C
2020-04-12,Rosemary's Baby,1968,https://boxd.it/29zM
2020-04-12,The Many Adventures of Winnie the Pooh,1977,https://boxd.it/7l0Y
2020-04-22,Uncut Gems,2019,https://boxd.it/gXGc
2020-04-27,Jojo Rabbit,2019,https://boxd.it/iEBG
2020-05-05,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2020-05-15,The Florida Project,2017,https://boxd.it/dMG0
2020-06-16,The King of Staten Island,2020,https://boxd.it/litG
2020-07-05,Clueless,1995,https://boxd.it/1Ygk
2020-07-05,Spirited Away,2001,https://boxd.it/2b4m
2020-07-08,Hamilton,2020,https://boxd.it/kmvE
2020-07-17,Superbad,2007,https://boxd.it/20hO
2020-07-17,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2020-07-17,Kingsman: The Secret Service,2014,https://boxd.it/6dxe
2020-07-22,mid90s,2018,https://boxd.it/fxIa
2020-07-25,Hereditary,2018,https://boxd.it/hNVe
2020-09-15,Tenet,2020,https://boxd.it/leq4
2020-09-16,Dirty Dancing,1987,https://boxd.it/2baY
2020-09-16,Twilight,2008,https://boxd.it/1Zui
2020-09-16,The Twilight Saga: New Moon,2009,https://boxd.it/1Hj2
2020-09-16,The Twilight Saga: Eclipse,2010,https://boxd.it/1ytW
2020-09-16,Lady Bird,2017,https://boxd.it/dGNE
2020-09-16,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2020-09-16,The Shining,1980,https://boxd.it/29Nu
2020-09-16,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2020-09-16,Call Me by Your Name,2017,https://boxd.it/dYmm
2020-09-16,The Silence of the Lambs,1991,https://boxd.it/2aHW
2020-09-16,Us,2019,https://boxd.it/gnV6
2020-09-16,It,2017,https://boxd.it/bC8e
2020-09-16,Bohemian Rhapsody,2018,https://boxd.it/f1TK
